"","Sample","variable","lyta","piab","pos"
"528","S1_92.5","Cq",26.0203704032033,33.4942398019941,TRUE
"529","S1_92.599999999999994","Cq",25.0053899200377,25.743840543983,TRUE
"530","S1_92.6","Cq",25.5985532428509,27.6386898417073,TRUE
"531","S1_93.1","Cq",45,45,FALSE
"532","S1_93.2","Cq",45,45,FALSE
"533","S1_93.3","Cq",45,45,FALSE
"534","S1_93.4","Cq",45,45,FALSE
"535","S1_93.5","Cq",45,45,FALSE
"536","S1_93.599999999999994","Cq",38.962167044781,45,FALSE
"537","S1_94.1","Cq",45,45,FALSE
"538","S1_94.2","Cq",45,45,FALSE
"539","S1_94.3","Cq",45,45,FALSE
"540","S1_94.4","Cq",38.79370307,45,FALSE
"541","S1_94.5","Cq",45,45,FALSE
"542","S1_94.599999999999994","Cq",37.6042542961904,45,FALSE
"543","S1_95.1","Cq",45,45,FALSE
